,name,birth_year,weight,height,nationality,cyclist_id
0,Bruno  Surra,1964.0,,,Italy,bruno-surra
1,Gérard  Rué,1965.0,74.0,182.0,France,gerard-rue
2,Jan  Maas,1996.0,69.0,189.0,Netherlands,jan-maas
3,Nathan Van Hooydonck,1995.0,78.0,192.0,Belgium,nathan-van-hooydonck
4,José Félix  Parra,1997.0,55.0,171.0,Spain,jose-felix-parra
5,Manuel  Peñalver,1998.0,67.0,177.0,Spain,manuel-penalver
6,Willy  Moonen,1947.0,,,Belgium,willy-moonen
7,Chad  Haga,1988.0,71.5,191.0,United States,chad-haga
8,Joost van Leijen,1984.0,73.0,192.0,Netherlands,joost-van-leijen
9,Scott  Davies,,,,,scott-davies
10,Stian  Remme,1982.0,,,Norway,stian-remme
11,José Ángel  Gómez Marchante,1980.0,60.0,175.0,Spain,jose-angel-gomez-marchante
12,Giuseppe  Guerini,1970.0,65.0,178.0,Italy,giuseppe-guerini
13,Evgueny  Anachkine,1970.0,,,Russia,evgueny-anachkine
14,Maurizio  Biondo,1981.0,,,Italy,maurizio-biondo
15,Rony  Martias,1980.0,71.0,181.0,France,rony-martias
16,Eloy  Teruel,1982.0,73.0,181.0,Spain,eloy-teruel
17,Julien El Fares,1985.0,62.0,172.0,France,julien-el-fares
18,Patrice  Thévenard,1954.0,,,France,patrice-thevenard
19,Michał  Paluta,1995.0,65.0,174.0,Poland,michal-paluta
20,Luc  Suykerbuyk,1964.0,,,Netherlands,luc-suykerbuyk
21,Fabien  Grellier,1994.0,65.0,180.0,France,fabien-grellier
22,Bernard  Bourreau,1951.0,63.0,164.0,France,bernard-bourreau
23,Volker  Ordowski,1973.0,59.0,170.0,Germany,volker-ordowski
24,Roy  Schuiten,1950.0,83.0,184.0,Netherlands,roy-schuiten
25,Graeme Allen  Brown,1979.0,76.0,180.0,Australia,graeme-brown
26,Alain  Gallopin,1957.0,,,France,alain-gallopin
27,Phillip  Gaimon,1986.0,67.0,185.0,United States,phillip-gaimon
28,Andrea  Fedi,1991.0,70.0,184.0,Italy,andrea-fedi
29,Urs  Graf,1974.0,,,Switzerland,urs-graf
30,Jean-Claude  Theillière,1944.0,,,France,jean-claude-theilliere
31,Paul  Kimmage,1962.0,,,Ireland,paul-kimmage
32,Piotr  Przydział,1974.0,80.0,186.0,Poland,piotr-przydzial
33,Alessandro  Vanotti,1980.0,70.0,185.0,Italy,alessandro-vanotti
34,Anthony  Perez,1991.0,70.0,190.0,France,anthony-perez
35,Morten  Hulgaard,1998.0,73.0,181.0,Denmark,morten-hulgaard
36,Andreas  Dietziker,1982.0,67.0,179.0,Switzerland,andreas-dietziker
37,Alejandro  Paleo,1981.0,,,Spain,alejandro-paleo
38,Thomas  Gloag,2001.0,60.0,181.0,Great Britain,thomas-gloag
39,Samuel  Blanco,1994.0,,,Spain,samuel-blanco
40,Sean  Sullivan,1978.0,,,Australia,sean-sullivan
41,Gaetano  Baronchelli,1952.0,,,Italy,gaetano-baronchelli
42,Mario  Scirea,1964.0,80.0,193.0,Italy,mario-scirea
43,Hector  Palacio,1969.0,63.0,167.0,Colombia,hector-palacio
44,Julien  Mazet,1981.0,,,France,julien-mazet
45,Roberto  Giucolsi,1968.0,,,Italy,roberto-giucolsi
46,Leonardo  Guidi,1974.0,,,Italy,leonardo-guidi
47,Aitor  Alonso,1980.0,,,Spain,aitor-alonso
48,Noël  Vanclooster,1943.0,,,Belgium,noel-vanclooster
49,Jesús  Rodríguez,1960.0,,,Spain,jesus-rodriguez-rodriguez
50,Johann van Zyl,1991.0,72.0,190.0,South Africa,johann-van-zyl
51,Walter  Bénéteau,1972.0,67.0,175.0,France,walter-beneteau
52,Noan  Lelarge,1975.0,,,France,noan-lelarge
53,Eric Van Lancker,1961.0,,,Belgium,eric-van-lancker
54,Dylan  Sunderland,1996.0,67.0,180.0,Australia,dylan-sunderland
55,Corrado  Serina,1975.0,73.0,180.0,Italy,corrado-serina
56,Luca  Maggioni,1973.0,,,Italy,luca-maggioni
57,Eduardo  Sepúlveda,1991.0,59.0,173.0,Argentina,eduardo-sepulveda
58,Cedric  Beullens,1997.0,79.0,190.0,Belgium,cedric-beullens
59,Christian  Muselet,1952.0,,,France,christian-muselet
60,Egor  Silin,1988.0,61.0,177.0,Russia,egor-silin
61,Stéphane  Bergès,1975.0,68.0,181.0,France,stephane-berges
62,Bruce  Biddle,1949.0,64.0,173.0,New Zealand,bruce-biddle
